"Name","Location","GridReference","LocalAuthority","ManagedBy","Code","DfTCategory","PlatformCount","IsAccessible","FareZone"
"Southampton Central","Southampton City Centre","SU412121","City of Southampton","South West Trains","SOU","B",5,false,0
"Southbourne","Southbourne","SU769059","Chichester","Southern","SOB","E",2,false,0
"Southease","Southease","TQ430054","Lewes","Southern","SEE","F2",2,false,0
"Southwick","Southwick, West Sussex","TQ242051","Adur","Southern","SWK","E",2,false,0
"Streatham Common","","","London Borough of Lambeth","Southern","SRC","C2",4,true,3
"Streatham Hill","","","London Borough of Lambeth","Southern","SRH","C2",2,false,3
"Streatham","","","London Borough of Lambeth","Southern","STE","D",2,false,3
"Sutton","","","London Borough of Sutton","Southern","SUO","C2",4,true,5
"Swanwick","Park Gate","SU517087","Fareham","South West Trains","SNW","E",2,false,0
"Sydenham (London)","","","London Borough of Lewisham","London Overground","SYD","D",2,true,3
"Tadworth","","","Borough of Reigate and Banstead","Southern","TAD","E",2,false,6
"Tattenham Corner","","","Borough of Reigate and Banstead","Southern","TAT","E",3,true,6
"Thornton Heath","","","London Borough of Croydon","Southern","TTH","C2",0,false,4
"Three Bridges","Three Bridges","TQ288369","Borough of Crawley","Southern","TBD","C1",5,false,0
"Three Oaks","Three Oaks","TQ838144","Rother","Southern","TOK","F2",1,false,0
"Tonbridge","Tonbridge","TQ586460","Borough of Tonbridge and Malling","Southeastern","TON","B",4,false,0
"Tring","Tring","SP950122","Borough of Dacorum","London Midland","TRI","C2",5,false,0
"Tulse Hill","","","London Borough of Lambeth","Southern","TUH","D",4,false,3
"Uckfield","Uckfield","TQ473209","District of Wealden","Southern","UCK","E",1,false,0
"Upper Warlingham","","","District of Tandridge","Southern","UWL","D",2,false,6
"Waddon","","","London Borough of Croydon","Southern","WDO","D",2,false,5
"Wallington","","","London Borough of Sutton","Southern","WLT","C2",2,true,5
"Wandsworth Common","","","Wandsworth","Southern","WSW","D",0,false,3
"Warblington","Warblington","SU727065","Havant","Southern","WBL","E",2,false,0
"Warnham","Warnham","TQ170339","District of Horsham","Southern","WNH","F2",2,false,0
"Watford Junction","","","Borough of Watford","London Midland","WFJ","B",10,true,0
"Wembley Central","","","London Borough of Brent","London Underground[1]","WMB","C2",0,true,4
"West Brompton","","","Royal Borough of Kensington and Chelsea","London Underground[1]","WBP","E",4,true,2
"West Croydon","","","London Borough of Croydon","London Overground","WCY","C2",0,true,5
"West Norwood","","","London Borough of Lambeth","Southern","WNW","D",2,true,3
"West Worthing","Worthing","TQ132033","Worthing, West Sussex","Southern","WWO","D",2,false,0
"Whyteleafe","","","District of Tandridge","Southern","WHY","E",2,true,6
"Whyteleafe South","","","District of Tandridge","Southern","WHS","E",2,true,6
"Wimbledon","","","London Borough of Merton","South West Trains","WIM","B",11,false,3
"Winchelsea","Winchelsea","TQ899183","Rother","Southern","WSE","F2",1,false,0
"Wivelsfield","Burgess Hill","TQ320200","District of Mid Sussex","Southern","WVF","E",2,false,0
"Woldingham","Woldingham","TQ359563","District of Tandridge","Southern","WOH","E",2,false,0
"Woodmansterne","","","London Borough of Croydon","Southern","WME","E",2,false,6
"Worthing","Worthing","TQ145033","Worthing, West Sussex","Southern","WRH","C[1]",3,false,0
